,name,currency_code,local_price,dollar_ex,date
0,Argentina,ARS,2.5,1.0,2000-04-01
1,Australia,AUD,2.59,1.68,2000-04-01
2,Brazil,BRL,2.95,1.79,2000-04-01
3,Canada,CAD,2.85,1.47,2000-04-01
4,Switzerland,CHF,5.9,1.7,2000-04-01
5,Chile,CLP,1260.0,514.0,2000-04-01
6,China,CNY,9.9,8.28,2000-04-01
7,Czech Republic,CZK,54.37,39.1,2000-04-01
8,Denmark,DKK,24.75,8.04,2000-04-01
9,Euro area,EUR,2.56,1.075268817,2000-04-01
10,Britain,GBP,1.9,0.632911392,2000-04-01
11,Hong Kong,HKD,10.2,7.79,2000-04-01
12,Hungary,HUF,339.0,279.0,2000-04-01
13,Indonesia,IDR,14500.0,7945.0,2000-04-01
14,Israel,ILS,14.5,4.05,2000-04-01
15,Japan,JPY,294.0,106.0,2000-04-01
16,South Korea,KRW,3000.0,1108.0,2000-04-01
17,Mexico,MXN,20.9,9.41,2000-04-01
18,Malaysia,MYR,4.52,3.8,2000-04-01
19,New Zealand,NZD,3.4,2.01,2000-04-01
20,Poland,PLN,5.5,4.3,2000-04-01
21,Russia,RUB,39.5,28.5,2000-04-01
22,Singapore,SGD,3.2,1.7,2000-04-01
23,Sweden,SEK,24.0,8.84,2000-04-01
24,Thailand,THB,55.0,38.0,2000-04-01
25,Taiwan,TWD,70.0,30.6,2000-04-01
26,United States,USD,2.24,1.0,2000-04-01
27,South Africa,ZAR,9.0,6.72,2000-04-01
28,Argentina,ARS,2.5,1.0,2001-04-01
29,Australia,AUD,3.0,1.98,2001-04-01
30,Brazil,BRL,3.6,2.19,2001-04-01
31,Canada,CAD,3.33,1.56,2001-04-01
32,Switzerland,CHF,6.3,1.73,2001-04-01
33,Chile,CLP,1260.0,601.0,2001-04-01
34,China,CNY,9.9,8.28,2001-04-01
35,Czech Republic,CZK,56.0,39.0,2001-04-01
36,Denmark,DKK,24.75,8.46,2001-04-01
37,Euro area,EUR,2.57,1.136363636,2001-04-01
38,Britain,GBP,1.99,0.699300699,2001-04-01
39,Hong Kong,HKD,10.7,7.8,2001-04-01
40,Hungary,HUF,399.0,303.0,2001-04-01
41,Indonesia,IDR,14700.0,10855.0,2001-04-01
42,Japan,JPY,294.0,124.0,2001-04-01
43,South Korea,KRW,3000.0,1325.0,2001-04-01
44,Mexico,MXN,21.9,9.29,2001-04-01
45,Malaysia,MYR,4.52,3.8,2001-04-01
46,New Zealand,NZD,3.6,2.47,2001-04-01
47,Philippines,PHP,59.0,50.3,2001-04-01
48,Poland,PLN,5.9,4.03,2001-04-01
49,Russia,RUB,35.0,28.9,2001-04-01
50,Singapore,SGD,3.3,1.81,2001-04-01
51,Sweden,SEK,24.0,10.28,2001-04-01
52,Thailand,THB,55.0,45.5,2001-04-01
53,Taiwan,TWD,70.0,32.9,2001-04-01
54,United States,USD,2.24,1.0,2001-04-01
55,South Africa,ZAR,9.7,8.13,2001-04-01
56,Argentina,ARS,2.5,3.13,2002-04-01
57,Australia,AUD,3.0,1.86,2002-04-01
58,Brazil,BRL,3.6,2.34,2002-04-01
59,Canada,CAD,3.33,1.57,2002-04-01
60,Switzerland,CHF,6.3,1.66,2002-04-01
61,Chile,CLP,1400.0,655.0,2002-04-01
62,China,CNY,10.5,8.28,2002-04-01
63,Czech Republic,CZK,56.28,34.0,2002-04-01
64,Denmark,DKK,24.75,8.38,2002-04-01
65,Euro area,EUR,2.67,1.123595506,2002-04-01
66,Britain,GBP,1.99,0.689655172,2002-04-01
67,Hong Kong,HKD,11.2,8.0,2002-04-01
68,Hungary,HUF,459.0,272.0,2002-04-01
69,Indonesia,IDR,16000.0,9430.0,2002-04-01
70,Israel,ILS,12.0,4.79,2002-04-01
71,Japan,JPY,262.0,130.0,2002-04-01
72,South Korea,KRW,3100.0,1304.0,2002-04-01
73,Mexico,MXN,21.9,9.28,2002-04-01
74,Malaysia,MYR,5.04,3.8,2002-04-01
75,Norway,NOK,35.0,8.56,2002-04-01
76,New Zealand,NZD,3.6,2.24,2002-04-01
77,Peru,PEN,8.5,3.43,2002-04-01
78,Philippines,PHP,65.0,51.0,2002-04-01
79,Poland,PLN,5.9,4.04,2002-04-01
80,Russia,RUB,39.0,31.2,2002-04-01
81,Singapore,SGD,3.3,1.82,2002-04-01
82,Sweden,SEK,26.0,10.4,2002-04-01
83,Thailand,THB,55.0,43.3,2002-04-01
84,Turkey,TRY,4000000.0,1324500.0,2002-04-01
85,Taiwan,TWD,70.0,34.8,2002-04-01
86,United States,USD,2.35,1.0,2002-04-01
87,Venezuela,VEF,2500.0,857.0,2002-04-01
88,South Africa,ZAR,9.7,10.9,2002-04-01
89,Argentina,ARS,4.1,2.88,2003-04-01
90,Australia,AUD,3.0,1.61,2003-04-01
91,Brazil,BRL,4.55,3.07,2003-04-01
92,Canada,CAD,3.2,1.45,2003-04-01
93,Switzerland,CHF,6.3,1.37,2003-04-01
94,Chile,CLP,1400.0,716.0,2003-04-01
95,China,CNY,9.9,8.28,2003-04-01
96,Czech Republic,CZK,56.57,28.9,2003-04-01
97,Denmark,DKK,27.75,6.78,2003-04-01
98,Egypt,EGP,8.0,5.92,2003-04-01
99,Euro area,EUR,2.71,0.909090909,2003-04-01
100,Britain,GBP,1.99,0.632911392,2003-04-01
101,Hong Kong,HKD,11.5,7.8,2003-04-01
102,Hungary,HUF,490.0,224.0,2003-04-01
103,Indonesia,IDR,16100.0,8740.0,2003-04-01
104,Japan,JPY,262.0,120.0,2003-04-01
105,South Korea,KRW,3300.0,1220.0,2003-04-01
106,Mexico,MXN,23.0,10.53,2003-04-01
107,Malaysia,MYR,5.04,3.8,2003-04-01
108,New Zealand,NZD,3.95,1.78,2003-04-01
109,Peru,PEN,7.9,3.46,2003-04-01
110,Philippines,PHP,65.0,52.5,2003-04-01
111,Poland,PLN,6.3,3.89,2003-04-01
112,Russia,RUB,41.0,31.1,2003-04-01
113,Singapore,SGD,3.3,1.78,2003-04-01
114,Sweden,SEK,30.0,8.34,2003-04-01
115,Thailand,THB,59.0,42.7,2003-04-01
116,Turkey,TRY,3750000.0,1600500.0,2003-04-01
117,Taiwan,TWD,70.0,34.8,2003-04-01
118,United States,USD,2.46,1.0,2003-04-01
119,Venezuela,VEF,3700.0,1598.0,2003-04-01
120,South Africa,ZAR,13.95,7.56,2003-04-01
121,Argentina,ARS,4.36,2.95,2004-05-01
122,Australia,AUD,3.25,1.43,2004-05-01
123,Brazil,BRL,5.4,3.18,2004-05-01
124,Canada,CAD,3.19,1.37,2004-05-01
125,Switzerland,CHF,6.3,1.29,2004-05-01
126,Chile,CLP,1400.0,641.0,2004-05-01
127,China,CNY,10.4,8.28,2004-05-01
128,Colombia,COP,6500.0,2769.83,2004-05-01
129,Costa Rica,CRC,1130.0,433.55,2004-05-01
130,Czech Republic,CZK,56.42,26.5,2004-05-01
131,Denmark,DKK,27.75,6.22,2004-05-01
132,Egypt,EGP,10.0,6.19,2004-05-01
133,Euro area,EUR,2.74,0.833333333,2004-05-01
134,Britain,GBP,1.88,0.558659218,2004-05-01
135,Hong Kong,HKD,12.0,7.79,2004-05-01
136,Hungary,HUF,530.0,211.0,2004-05-01
137,Indonesia,IDR,16100.0,9120.0,2004-05-01
138,Japan,JPY,262.0,113.0,2004-05-01
139,South Korea,KRW,3200.0,1177.0,2004-05-01
140,Sri Lanka,LKR,140.0,99.0,2004-05-01
141,Mexico,MXN,24.0,11.6,2004-05-01
142,Malaysia,MYR,5.04,3.8,2004-05-01
143,Norway,NOK,35.5,6.8491,2004-05-01
144,New Zealand,NZD,4.35,1.64,2004-05-01
145,Pakistan,PKR,110.0,57.76,2004-05-01
146,Peru,PEN,8.99,3.49,2004-05-01
147,Philippines,PHP,69.0,55.9,2004-05-01
148,Poland,PLN,6.3,3.87,2004-05-01
149,Russia,RUB,42.0,29.0,2004-05-01
150,Saudi Arabia,SAR,2.4,3.7502,2004-05-01
151,Singapore,SGD,3.3,1.71,2004-05-01
152,Sweden,SEK,30.0,7.61,2004-05-01
153,Thailand,THB,59.0,40.8,2004-05-01
154,Turkey,TRY,3950000.0,1531000.0,2004-05-01
155,Taiwan,TWD,75.0,33.4,2004-05-01
156,Ukraine,UAH,7.25,5.3315,2004-05-01
157,Uruguay,UYU,29.8,29.735,2004-05-01
158,United States,USD,2.47,1.0,2004-05-01
159,Venezuela,VEF,4400.0,2977.0,2004-05-01
160,South Africa,ZAR,12.4,6.66,2004-05-01
161,UAE,AED,9.0,3.6725,2005-06-01
162,Argentina,ARS,4.75,2.897,2005-06-01
163,Australia,AUD,3.25,1.3015,2005-06-01
164,Brazil,BRL,5.9,2.4648,2005-06-01
165,Canada,CAD,3.28,1.2494,2005-06-01
166,Switzerland,CHF,6.3,1.2475,2005-06-01
167,Chile,CLP,1500.0,592.45,2005-06-01
168,China,CNY,10.5,8.2764,2005-06-01
169,Colombia,COP,6500.0,2327.7,2005-06-01
170,Costa Rica,CRC,1130.0,475.3,2005-06-01
171,Czech Republic,CZK,56.42,24.5409,2005-06-01
172,Denmark,DKK,27.75,6.0647,2005-06-01
173,Egypt,EGP,9.0,5.8,2005-06-01
174,Euro area,EUR,2.92,0.814929509,2005-06-01
175,Britain,GBP,1.88,0.546448087,2005-06-01
176,Hong Kong,HKD,12.0,7.7807,2005-06-01
177,Hungary,HUF,530.0,203.643,2005-06-01
178,Indonesia,IDR,14600.0,9545.0,2005-06-01
179,Japan,JPY,250.0,106.715,2005-06-01
180,South Korea,KRW,2500.0,1005.5,2005-06-01
181,Sri Lanka,LKR,175.0,99.945,2005-06-01
182,Mexico,MXN,28.0,10.8675,2005-06-01
